"","president","date","approval","disapproval","unsure","average_approval","approval_variation","term.start","days_in_office","rolling_approval"
"1","BushJr",2009-01-11,34,61,5,51.3475177304965,15.8733805756134,2001-01-20,2913,NA
"2","BushJr",2008-12-14,29,67,4,51.3475177304965,15.8733805756134,2001-01-20,2885,NA
"3","BushJr",2008-12-07,32,61,7,51.3475177304965,15.8733805756134,2001-01-20,2878,30.4
"4","BushJr",2008-11-16,29,66,5,51.3475177304965,15.8733805756134,2001-01-20,2857,28.6
"5","BushJr",2008-11-09,28,68,4,51.3475177304965,15.8733805756134,2001-01-20,2850,29
"6","BushJr",2008-11-02,25,70,5,51.3475177304965,15.8733805756134,2001-01-20,2843,27.6
"7","BushJr",2008-10-26,31,66,3,51.3475177304965,15.8733805756134,2001-01-20,2836,26.8
"8","BushJr",2008-10-12,25,71,4,51.3475177304965,15.8733805756134,2001-01-20,2822,26.6
"9","BushJr",2008-10-05,25,70,5,51.3475177304965,15.8733805756134,2001-01-20,2815,27.8
"10","BushJr",2008-09-27,27,69,4,51.3475177304965,15.8733805756134,2001-01-20,2807,28.2
"11","BushJr",2008-09-11,31,65,4,51.3475177304965,15.8733805756134,2001-01-20,2791,29
"12","BushJr",2008-09-07,33,64,3,51.3475177304965,15.8733805756134,2001-01-20,2787,30.6
"13","BushJr",2008-08-23,29,66,5,51.3475177304965,15.8733805756134,2001-01-20,2772,31.6
"14","BushJr",2008-08-10,33,61,6,51.3475177304965,15.8733805756134,2001-01-20,2759,31.6
"15","BushJr",2008-07-27,32,65,3,51.3475177304965,15.8733805756134,2001-01-20,2745,30.6
"16","BushJr",2008-07-13,31,61,8,51.3475177304965,15.8733805756134,2001-01-20,2731,30.8
"17","BushJr",2008-06-19,28,68,4,51.3475177304965,15.8733805756134,2001-01-20,2707,29.8
"18","BushJr",2008-06-12,30,64,6,51.3475177304965,15.8733805756134,2001-01-20,2700,29.2
"19","BushJr",2008-06-01,28,68,4,51.3475177304965,15.8733805756134,2001-01-20,2689,28.6
"20","BushJr",2008-05-11,29,65,6,51.3475177304965,15.8733805756134,2001-01-20,2668,28.6
"21","BushJr",2008-05-03,28,67,5,51.3475177304965,15.8733805756134,2001-01-20,2660,28.2
